IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.14.68,4,4,0.00,59.58,10.56
104.18.81.53,4,4,0.00,63.57,10.53
104.17.131.13,4,4,0.00,62.38,9.68
104.17.140.156,4,4,0.00,72.46,8.78
104.17.132.241,4,4,0.00,59.72,8.33
104.18.158.245,4,4,0.00,57.67,8.33
104.18.163.34,4,4,0.00,62.92,8.27
104.18.159.170,4,4,0.00,61.71,2.94
104.17.128.176,4,4,0.00,58.14,1.00
104.17.142.142,4,4,0.00,72.74,0.24
