IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.152.102,4,4,0.00,93.14,9.66
104.19.147.200,4,4,0.00,55.34,8.28
104.19.151.77,4,4,0.00,125.47,7.71
104.19.150.153,4,4,0.00,135.15,7.58
104.19.210.241,4,4,0.00,105.63,1.14
104.22.43.237,4,4,0.00,175.10,0.43
104.20.10.196,4,4,0.00,180.07,0.37
104.27.21.152,4,4,0.00,179.85,0.32
104.22.42.93,4,4,0.00,179.22,0.27
104.24.58.148,4,4,0.00,179.41,0.26
