IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.240.117,4,4,0.00,64.23,9.73
190.93.246.248,4,4,0.00,65.01,9.04
104.19.222.207,4,4,0.00,63.88,8.73
104.17.205.153,4,4,0.00,70.18,8.64
190.93.247.135,4,4,0.00,58.52,7.60
104.17.184.2,4,4,0.00,68.12,7.58
141.101.115.131,4,4,0.00,59.71,7.38
104.17.215.120,4,4,0.00,76.43,6.49
190.93.244.180,4,4,0.00,58.47,3.74
104.18.76.38,4,4,0.00,61.02,2.87
